latitude,longitude,Depth,Temperature,pH
58.8245,-168.1973,47.0,-1.711,8.0747
58.8245,-168.1973,47.0,-1.699,8.0803
58.8245,-168.1973,47.0,-1.708,8.1105
59.0487,-167.9052,43.0,-1.702,8.07594
59.0487,-167.9052,43.0,-1.702,8.07594
59.0487,-167.9052,43.0,-1.709,8.07594
59.0487,-167.9052,43.0,-1.708,8.07594
59.0487,-167.9052,43.0,-1.704,8.0832
59.4552,-167.7942,38.0,-1.734,8.0682
59.4552,-167.7942,38.0,-1.724,8.0929
59.4552,-167.7942,38.0,-1.718,8.1098
59.4552,-167.7942,38.0,-1.711,8.0738
59.508,-167.729,35.0,-1.74,8.0805
59.508,-167.729,35.0,-1.741,8.0737
59.508,-167.729,35.0,-1.742,8.0836
59.508,-167.729,35.0,-1.736,8.1032
59.8667,-167.9942,31.0,-1.719,7.8833
59.8667,-167.9942,31.0,-1.714,7.8763
59.8667,-167.9942,31.0,-1.68,7.876
59.8667,-167.9942,31.0,-1.678,7.9275
59.9038,-168.5867,40.0,-1.69,8.061499999999999
59.9038,-168.5867,40.0,-1.689,8.061499999999999
59.9038,-168.5867,40.0,-1.669,8.061499999999999
59.9038,-168.5867,40.0,-1.63,7.9632
59.9038,-168.5867,40.0,-1.635,7.9515
59.8953,-169.2033,45.0,-1.659,8.0647
59.8953,-169.2033,45.0,-1.659,8.07
59.8953,-169.2033,45.0,-1.653,8.0066
59.8953,-169.2033,45.0,-1.656,8.1526
59.8953,-169.2033,45.0,-1.655,8.0144
59.9032,-169.7947,54.0,-1.682,8.06118
59.9032,-169.7947,54.0,-1.683,8.06118
59.9032,-169.7947,54.0,-1.681,8.06118
59.9032,-169.7947,54.0,-1.681,8.06118
59.9032,-169.7947,54.0,-1.682,8.0189
59.9032,-169.7947,54.0,-1.673,8.0633
59.8923,-169.7908,53.0,-1.678,8.06662
59.8922,-169.7388,52.0,-1.68,8.05424
59.8922,-169.7388,52.0,-1.699,8.05424
59.8922,-169.7388,52.0,-1.699,8.05424
59.8922,-169.7388,52.0,-1.699,8.05424
59.8922,-169.7388,52.0,-1.7,8.05424
59.8922,-169.7388,52.0,-1.695,8.05424
59.8922,-169.7388,52.0,-1.697,8.05424
59.8225,-169.6503,52.0,-1.685,8.05424
59.8225,-169.6503,52.0,-1.683,8.05424
59.8225,-169.6503,52.0,-1.676,8.05424
59.8225,-169.6503,52.0,-1.67,8.05424
59.8225,-169.6503,52.0,-1.671,8.05424
59.8225,-169.6503,52.0,-1.666,8.05424
59.9037,-170.3983,60.0,-1.687,8.0114
59.9037,-170.3983,60.0,-1.689,8.02788
59.9037,-170.3983,60.0,-1.696,8.017
59.9037,-170.3983,60.0,-1.7,8.02788
59.9037,-170.3983,60.0,-1.707,8.0072
59.9037,-170.3983,60.0,-1.708,8.0457
59.9037,-170.3983,60.0,-1.707,8.0581
59.904,-170.9568,71.0,-1.622,7.979819999999999
59.904,-170.9568,71.0,-1.624,7.979819999999999
59.904,-170.9568,71.0,-1.699,7.979819999999999
59.904,-170.9568,71.0,-1.708,7.979819999999999
59.904,-170.9568,71.0,-1.708,7.979819999999999
59.904,-170.9568,71.0,-1.708,7.979819999999999
59.904,-170.9568,71.0,-1.708,8.0218
59.904,-170.9568,71.0,-1.708,7.9919
59.909,-171.5652,70.0,-1.72,8.1036
59.909,-171.5652,70.0,-1.721,8.0695
59.909,-171.5652,70.0,-1.721,8.0583
59.909,-171.5652,70.0,-1.721,8.0703
59.909,-171.5652,70.0,-1.721,8.0563
59.909,-171.5652,70.0,-1.721,8.0885
59.909,-171.5652,70.0,-1.707,8.0644
59.909,-171.5652,70.0,-1.704,8.0613
59.8978,-172.1873,72.0,-1.729,8.0699
59.8978,-172.1873,72.0,-1.73,8.0707
59.8978,-172.1873,72.0,-1.73,8.0711
59.8978,-172.1873,72.0,-1.73,8.0716
59.8978,-172.1873,72.0,-1.729,8.0965
59.8978,-172.1873,72.0,-1.73,8.0724
59.8978,-172.1873,72.0,-1.726,8.076
59.8815,-172.678,75.0,-1.723,7.974500000000001
59.8815,-172.678,75.0,-1.722,7.974500000000001
59.8815,-172.678,75.0,-1.721,7.974500000000001
59.8815,-172.678,75.0,-1.721,7.974500000000001
59.8815,-172.678,75.0,-1.718,7.974500000000001
59.8815,-172.678,75.0,-1.717,7.974500000000001
59.8815,-172.678,75.0,-1.695,7.974500000000001
59.8813,-172.7282,65.0,-1.601,7.9836
59.8813,-172.7282,65.0,-1.636,7.9851
59.8813,-172.7282,65.0,-1.711,7.9795
59.8813,-172.7282,65.0,-1.72,7.9844
59.8813,-172.7282,65.0,-1.721,7.9954
59.8813,-172.7282,65.0,-1.722,8.0064
59.8813,-172.7282,65.0,-1.715,7.9904
59.8813,-172.7282,65.0,-1.698,7.9857
59.8762,-173.3713,87.0,-0.682,8.098299999999998
59.8762,-173.3713,87.0,-0.685,8.098299999999998
59.8762,-173.3713,87.0,-1.68,8.0866
59.8762,-173.3713,87.0,-1.678,8.0866
59.8762,-173.3713,87.0,-1.677,8.0866
59.8762,-173.3713,87.0,-1.673,8.0092
59.8762,-173.3713,87.0,-1.635,7.9757
59.911,-174.0243,103.0,-1.172,8.1383
59.911,-174.0243,103.0,-1.726,8.131
59.911,-174.0243,103.0,-1.74,8.1005
59.911,-174.0243,103.0,-1.742,8.074
59.911,-174.0243,103.0,-1.743,8.089279999999999
59.911,-174.0243,103.0,-1.742,8.0635
59.911,-174.0243,103.0,-1.743,8.0774
59.911,-174.0243,103.0,-1.685,8.0956
59.9028,-174.6178,112.0,-0.563,8.0311
59.9028,-174.6178,112.0,-1.236,8.0482
59.9028,-174.6178,112.0,-1.717,8.0615
59.9028,-174.6178,112.0,-1.75,8.0638
59.9028,-174.6178,112.0,-1.752,8.0644
59.9028,-174.6178,112.0,-1.752,8.0648
59.9028,-174.6178,112.0,-1.752,8.0654
59.9028,-174.6178,112.0,-1.743,8.2515
59.9028,-174.6178,112.0,-1.744,8.107
59.9157,-175.2295,120.0,0.241,8.045
59.9157,-175.2295,120.0,0.23,8.0174
59.9157,-175.2295,120.0,-1.746,8.0895
59.9157,-175.2295,120.0,-1.746,8.0835
59.9157,-175.2295,120.0,-1.746,8.0275
59.9157,-175.2295,120.0,-1.745,8.0289
59.9157,-175.2295,120.0,-1.745,8.033
59.9157,-175.2295,120.0,-1.746,8.0433
59.9045,-175.8032,132.0,0.674,7.987
59.9045,-175.8032,132.0,0.673,7.9903
59.9045,-175.8032,132.0,0.428,8.001
59.9045,-175.8032,132.0,-1.746,8.0586
59.9045,-175.8032,132.0,-1.746,8.0595
59.9045,-175.8032,132.0,-1.746,8.06
59.9045,-175.8032,132.0,-1.745,8.1178
59.9045,-175.8032,132.0,-1.738,8.1267
59.902,-176.4158,142.0,0.65,8.00098
59.902,-176.4158,142.0,0.647,8.00098
59.902,-176.4158,142.0,0.645,8.00098
59.902,-176.4158,142.0,0.614,8.00098
59.902,-176.4158,142.0,0.181,7.991079999999999
59.902,-176.4158,142.0,-1.735,8.14612
59.902,-176.4158,142.0,-1.737,8.147899999999998
59.902,-176.4158,142.0,-1.738,8.147899999999998
59.902,-176.4158,142.0,-1.739,8.147899999999998
59.902,-176.4158,142.0,-1.74,8.1479
59.902,-176.4158,142.0,-1.738,8.147899999999998
59.902,-176.4158,142.0,-1.738,8.147899999999998
59.9008,-176.4412,141.0,0.663,7.9887
59.9008,-176.4412,141.0,-1.738,8.1941
59.9008,-176.4412,141.0,-1.738,8.1238
59.9008,-176.4412,141.0,-1.741,8.1193
59.9008,-176.4412,141.0,-1.741,8.1558
59.9008,-176.4412,141.0,-1.741,8.1465
59.9008,-176.4412,141.0,-1.73,8.1376
59.9008,-176.4412,141.0,-1.702,8.121
59.9102,-176.9652,141.0,0.841,7.88858
59.9102,-176.9652,141.0,0.654,7.888579999999999
59.9102,-176.9652,141.0,0.558,7.941720000000001
59.9102,-176.9652,141.0,-0.452,8.02972
59.9102,-176.9652,141.0,-1.718,8.15306
59.9102,-176.9652,141.0,-1.714,8.15306
59.9102,-176.9652,141.0,-1.713,8.15306
59.9102,-176.9652,141.0,-1.719,8.0922
59.9102,-176.9652,141.0,-1.72,8.2907
59.9102,-176.9652,141.0,-1.72,8.16768
59.9102,-176.9652,141.0,-1.715,8.15306
59.8917,-178.1935,144.0,1.217,8.058
59.8917,-178.1935,144.0,1.202,8.0607
59.8917,-178.1935,144.0,1.104,8.0735
59.8917,-178.1935,144.0,0.819,8.0857
59.8917,-178.1935,144.0,0.215,8.1026
59.8917,-178.1935,144.0,-1.631,8.15
59.8917,-178.1935,144.0,-1.711,8.1667
59.8917,-178.1935,144.0,-1.717,8.1641
59.8917,-178.1935,144.0,-1.718,8.1648
59.8917,-178.1935,144.0,-1.717,8.1715
59.907,-179.4262,2685.0,1.712,7.6389
59.907,-179.4262,2685.0,1.925,7.6593
59.907,-179.4262,2685.0,2.354,7.6139
59.907,-179.4262,2685.0,2.704,7.6294
59.907,-179.4262,2685.0,3.286,7.6286
59.907,-179.4262,2685.0,3.617,7.6159
59.907,-179.4262,2685.0,3.896,7.7443
59.907,-179.4262,2685.0,1.23,8.0319
59.907,-179.4262,2685.0,-1.574,8.0814
59.907,-179.4262,2685.0,-1.652,8.078
59.907,-179.4262,2685.0,-1.687,8.095
59.907,-179.4262,2685.0,-1.688,8.1084
62.7825,-174.3497,75.0,-1.773,8.025659999999998
62.7825,-174.3497,75.0,-1.774,8.025659999999998
62.7825,-174.3497,75.0,-1.775,8.025659999999998
62.7825,-174.3497,75.0,-1.776,8.025659999999998
62.7825,-174.3497,75.0,-1.778,8.025659999999998
62.7825,-174.3497,75.0,-1.775,8.025659999999998
62.7825,-174.3497,75.0,-1.772,8.025659999999998
62.2198,-175.9375,93.0,-1.349,7.9884
62.2198,-175.9375,93.0,-1.355,8.03762
62.2198,-175.9375,93.0,-1.721,8.0402
62.2198,-175.9375,93.0,-1.72,8.03762
62.2198,-175.9375,93.0,-1.72,8.0625
62.2198,-175.9375,93.0,-1.72,8.03762
62.2198,-175.9375,93.0,-1.722,8.0545
62.2198,-175.9375,93.0,-1.716,8.0425
62.2128,-175.534,87.0,-1.75,8.008260000000002
62.2128,-175.534,87.0,-1.749,8.008260000000002
62.2128,-175.534,87.0,-1.347,8.06996
62.2128,-175.534,87.0,-1.659,8.008260000000002
62.2128,-175.534,87.0,-1.714,8.008260000000002
62.2128,-175.534,87.0,-1.717,8.008260000000002
62.2128,-175.534,87.0,-1.719,7.9468
62.2128,-175.534,87.0,-1.71,7.9549
62.19,-175.1407,82.0,-1.776,8.0442
62.19,-175.1407,82.0,-1.777,8.0246
62.19,-175.1407,82.0,-1.778,8.0438
62.19,-175.1407,82.0,-1.776,8.021
62.19,-175.1407,82.0,-1.762,8.0214
62.19,-175.1407,82.0,-1.758,8.0221
62.19,-175.1407,82.0,-1.751,7.9907
62.19,-175.1407,82.0,-1.749,8.0493
62.1978,-175.1022,81.0,-1.776,8.031
62.1978,-175.1022,81.0,-1.757,8.025540000000001
62.1978,-175.1022,81.0,-1.747,8.025540000000001
62.1978,-175.1022,81.0,-1.749,8.025540000000001
62.1978,-175.1022,81.0,-1.745,8.025540000000001
62.1978,-175.1022,81.0,-1.746,8.025540000000001
62.1978,-175.1022,81.0,-1.744,8.025540000000001
62.1978,-175.1022,81.0,-1.742,8.025540000000001
62.204,-175.0987,79.0,-1.775,7.98642
62.204,-175.0987,79.0,-1.742,7.980880000000001
62.2203,-175.1068,81.0,-1.774,8.031
62.2203,-175.1068,81.0,-1.774,8.031
62.2203,-175.1068,81.0,-1.774,8.031
62.2203,-175.1068,81.0,-1.767,8.02666
62.2203,-175.1068,81.0,-1.767,8.02666
62.2203,-175.1068,81.0,-1.766,8.02666
62.2203,-175.1068,81.0,-1.743,8.025540000000001
62.2203,-175.1068,81.0,-1.741,8.025540000000001
62.2203,-175.1068,81.0,-1.741,8.025540000000001
62.2203,-175.1068,81.0,-1.741,8.025540000000001
62.1938,-174.635,74.0,-1.777,8.0192
62.1938,-174.635,74.0,-1.778,8.0199
62.1938,-174.635,74.0,-1.779,8.0205
62.1938,-174.635,74.0,-1.783,8.0293
62.1938,-174.635,74.0,-1.782,8.0311
62.1938,-174.635,74.0,-1.782,8.0499
62.1938,-174.635,74.0,-1.78,8.0376
62.1452,-173.9942,65.0,-1.507,7.896
62.1452,-173.9942,65.0,-1.487,7.9164
62.1452,-173.9942,65.0,-1.746,7.9198
62.1452,-173.9942,65.0,-1.743,7.8957
62.1452,-173.9942,65.0,-1.737,7.9279
62.1452,-173.9942,65.0,-1.736,7.9455
62.1452,-173.9942,65.0,-1.711,7.9407
62.0878,-173.3268,62.0,-1.745,7.936319999999999
62.0878,-173.3268,62.0,-1.744,7.936319999999999
62.0878,-173.3268,62.0,-1.746,7.936319999999999
62.0878,-173.3268,62.0,-1.746,7.936319999999999
62.0878,-173.3268,62.0,-1.745,7.9127
62.0878,-173.3268,62.0,-1.744,7.9252
62.0737,-172.9218,60.0,-1.749,7.91554
62.0737,-172.9218,60.0,-1.75,7.91554
62.0737,-172.9218,60.0,-1.748,7.91554
62.0737,-172.9218,60.0,-1.747,7.91554
62.0737,-172.9218,60.0,-1.748,7.91554
62.0737,-172.9218,60.0,-1.746,7.91554
62.0737,-172.9218,60.0,-1.742,7.91554
62.0737,-172.9218,60.0,-1.741,7.91554
62.086,-172.8303,59.0,-1.746,7.915539999999998
62.086,-172.8303,59.0,-1.745,7.915539999999998
62.086,-172.8303,59.0,-1.745,7.915539999999998
62.086,-172.8303,59.0,-1.746,7.915539999999998
62.086,-172.8303,59.0,-1.743,7.915539999999998
62.086,-172.8303,59.0,-1.743,7.915539999999998
62.0525,-172.6417,55.0,-1.729,8.0227
62.0525,-172.6417,55.0,-1.726,8.0489
62.0525,-172.6417,55.0,-1.727,8.0549
62.0525,-172.6417,55.0,-1.73,8.0337
62.0525,-172.6417,55.0,-1.73,8.0314
62.0525,-172.6417,55.0,-1.725,8.0145
61.9972,-171.9265,55.0,-1.719,8.0695
61.9972,-171.9265,55.0,-1.719,8.0699
61.9972,-171.9265,55.0,-1.719,8.0702
61.9972,-171.9265,55.0,-1.72,8.0707
61.9972,-171.9265,55.0,-1.721,8.0887
61.9972,-171.9265,55.0,-1.716,8.4228
61.9635,-171.2193,53.0,-1.749,7.96902
61.9635,-171.2193,53.0,-1.746,7.96902
61.9635,-171.2193,53.0,-1.748,7.96902
61.9635,-171.2193,53.0,-1.756,7.96902
61.9635,-171.2193,53.0,-1.757,7.96902
61.9635,-171.2193,53.0,-1.757,7.96902
61.9635,-171.2193,53.0,-1.758,7.96902
61.9635,-171.2193,53.0,-1.758,7.96902
61.9635,-171.2193,53.0,-1.757,7.96902
61.9635,-171.2193,53.0,-1.75,7.96902
61.962,-171.2102,53.0,-1.747,7.9517
61.962,-171.2102,53.0,-1.745,7.9498
61.962,-171.2102,53.0,-1.75,7.9404
61.962,-171.2102,53.0,-1.756,7.9544
61.962,-171.2102,53.0,-1.728,7.9731
61.962,-171.2102,53.0,-1.748,8.0488
61.958,-171.1952,52.0,-1.748,8.01974
61.958,-171.1952,52.0,-1.746,7.9999400000000005
61.944,-171.1697,54.0,-1.746,7.96902
61.944,-171.1697,54.0,-1.751,7.96902
61.944,-171.1697,54.0,-1.757,7.96902
61.944,-171.1697,54.0,-1.757,7.96902
61.944,-171.1697,54.0,-1.757,7.96902
61.944,-171.1697,54.0,-1.757,7.96902
61.944,-171.1697,54.0,-1.746,7.96902
61.944,-171.1697,54.0,-1.741,7.972759999999999
61.8827,-170.5725,50.0,-1.761,7.970259999999999
61.8827,-170.5725,50.0,-1.759,7.970259999999999
61.8827,-170.5725,50.0,-1.755,7.970259999999999
61.8827,-170.5725,50.0,-1.752,7.970259999999999
61.8827,-170.5725,50.0,-1.744,7.9902
61.8827,-170.5725,50.0,-1.728,7.9961
61.8453,-169.8523,45.0,-1.753,7.9516
61.8453,-169.8523,45.0,-1.753,7.9565
61.8453,-169.8523,45.0,-1.753,7.9928
61.8453,-169.8523,45.0,-1.738,8.0308
61.8453,-169.8523,45.0,-1.733,8.0654
61.8453,-169.8523,45.0,-1.73,8.0557
61.8143,-169.167,40.0,-1.782,8.006240000000002
61.8143,-169.167,40.0,-1.782,8.006240000000002
61.8143,-169.167,40.0,-1.783,8.006240000000002
61.8143,-169.167,40.0,-1.786,8.0004
61.8143,-169.167,40.0,-1.782,8.0089
61.767,-168.4693,35.0,-1.751,7.9718
61.767,-168.4693,35.0,-1.741,7.9551
61.767,-168.4693,35.0,-1.739,7.9885
61.767,-168.4693,35.0,-1.737,7.9603
61.767,-168.4693,35.0,-1.739,7.9723
61.7195,-167.832,29.0,-1.736,8.1259
61.7195,-167.832,29.0,-1.736,8.0367
61.7195,-167.832,29.0,-1.735,8.0374
61.7195,-167.832,29.0,-1.709,8.0855
60.599,-167.3923,27.0,-1.679,8.128820000000001
60.599,-167.3923,27.0,-1.679,8.128820000000001
60.599,-167.3923,27.0,-1.677,8.128820000000001
60.599,-167.3923,27.0,-1.676,8.128820000000001
60.599,-167.3923,27.0,-1.676,8.128820000000001
60.4992,-167.9913,30.0,-1.677,7.9297200000000005
60.4992,-167.9913,30.0,-1.677,7.9297200000000005
60.4992,-167.9913,30.0,-1.681,7.9297200000000005
60.4992,-167.9913,30.0,-1.681,7.9297200000000005
60.399,-168.6302,38.0,-1.688,8.04672
60.399,-168.6302,38.0,-1.693,8.04672
60.399,-168.6302,38.0,-1.689,8.04672
60.3032,-169.2618,43.0,-1.658,8.0848
60.3032,-169.2618,43.0,-1.658,8.0848
60.3032,-169.2618,43.0,-1.658,8.0848
60.3032,-169.2618,43.0,-1.659,8.0848
60.3032,-169.2618,43.0,-1.659,8.0848
60.2043,-169.8815,50.0,-1.676,8.06662
60.2043,-169.8815,50.0,-1.676,8.06662
60.2043,-169.8815,50.0,-1.676,8.06662
60.2043,-169.8815,50.0,-1.675,8.06662
60.2043,-169.8815,50.0,-1.677,8.06662
60.2043,-169.8815,50.0,-1.676,8.06662
60.0877,-170.435,65.0,-1.701,7.9638800000000005
60.0877,-170.435,65.0,-1.7,7.9638800000000005
60.0877,-170.435,65.0,-1.697,7.9638800000000005
60.0877,-170.435,65.0,-1.693,7.9638800000000005
60.0877,-170.435,65.0,-1.689,7.9638800000000005
60.0877,-170.435,65.0,-1.689,7.9638800000000005
60.0877,-170.435,65.0,-1.69,7.9638800000000005
60.0,-171.058,71.0,-1.682,7.979819999999999
60.0,-171.058,71.0,-1.684,7.979819999999999
60.0,-171.058,71.0,-1.683,7.979819999999999
60.0,-171.058,71.0,-1.684,7.979819999999999
60.0,-171.058,71.0,-1.686,7.979819999999999
60.0,-171.058,71.0,-1.686,7.979819999999999
60.0,-171.058,71.0,-1.687,7.979819999999999
60.0,-171.058,71.0,-1.68,7.979819999999999
59.8868,-171.2982,74.0,-1.709,7.9336
59.8868,-171.2982,74.0,-1.71,7.9336
59.8868,-171.2982,74.0,-1.71,7.9336
59.8868,-171.2982,74.0,-1.71,7.9336
59.8868,-171.2982,74.0,-1.71,7.9336
59.8868,-171.2982,74.0,-1.711,7.9336
59.8868,-171.2982,74.0,-1.706,7.9336
59.8868,-171.2982,74.0,-1.682,7.9336
59.9042,-171.2563,71.0,-1.702,7.97508
59.9042,-171.2563,71.0,-1.707,7.97508
59.9042,-171.2563,71.0,-1.699,7.97508
59.909,-171.2,74.0,-1.7,7.966759999999999
59.909,-171.2,74.0,-1.702,7.966759999999999
59.909,-171.2,74.0,-1.703,7.966759999999999
59.909,-171.2,74.0,-1.703,7.966759999999999
59.909,-171.2,74.0,-1.703,7.966759999999999
59.909,-171.2,74.0,-1.7,7.966759999999999
59.909,-171.2,74.0,-1.689,7.966759999999999
59.909,-171.2,74.0,-1.689,7.966759999999999
59.871,-171.1487,71.0,-1.698,7.991460000000001
59.871,-171.1487,71.0,-1.698,7.991460000000001
59.871,-171.1487,71.0,-1.698,7.991460000000001
59.871,-171.1487,71.0,-1.698,7.991460000000001
59.871,-171.1487,71.0,-1.698,7.991460000000001
59.871,-171.1487,71.0,-1.699,7.991460000000001
59.871,-171.1487,71.0,-1.698,7.991460000000001
59.871,-171.1487,71.0,-1.698,7.991460000000001
59.871,-171.1487,71.0,-1.667,7.991460000000001
59.4692,-172.7638,93.0,-0.346,7.8923000000000005
59.4692,-172.7638,93.0,-0.348,7.8923000000000005
59.4692,-172.7638,93.0,-0.358,7.8923000000000005
59.4692,-172.7638,93.0,-1.697,7.984840000000001
59.4692,-172.7638,93.0,-1.697,7.984840000000001
59.4692,-172.7638,93.0,-1.695,7.984840000000001
59.4692,-172.7638,93.0,-1.692,7.984840000000001
59.4692,-172.7638,93.0,-1.692,7.984840000000001
59.4692,-172.7638,93.0,-1.688,7.984840000000001
59.4692,-172.7638,93.0,-1.684,7.984840000000001
58.0675,-172.9358,110.0,1.317,7.97912
58.0675,-172.9358,110.0,1.311,7.97912
58.0675,-172.9358,110.0,1.308,7.97912
58.0675,-172.9358,110.0,1.084,8.164080000000002
58.0675,-172.9358,110.0,-1.544,8.145579999999999
58.0675,-172.9358,110.0,-1.543,8.145579999999999
58.0675,-172.9358,110.0,-1.541,8.145579999999999
58.0675,-172.9358,110.0,-1.535,8.145579999999999
57.9073,-169.2353,69.0,-1.709,8.022960000000001
57.9073,-169.2353,69.0,-1.707,8.022960000000001
57.9073,-169.2353,69.0,-1.701,8.022960000000001
57.9073,-169.2353,69.0,-1.689,8.022960000000001
57.9073,-169.2353,69.0,-1.673,8.022960000000001
57.9073,-169.2353,69.0,-1.675,8.022960000000001
57.9073,-169.2353,69.0,-1.675,8.022960000000001
57.9073,-169.2353,69.0,-1.679,8.022960000000001
57.9073,-169.2353,69.0,-1.668,8.022960000000001
57.9073,-169.2353,69.0,-1.676,8.022960000000001
57.9377,-169.2047,69.0,-1.708,8.022960000000001
57.9377,-169.2047,69.0,-1.708,8.022960000000001
57.9377,-169.2047,69.0,-1.683,8.022960000000001
57.9377,-169.2047,69.0,-1.676,8.022960000000001
57.9377,-169.2047,69.0,-1.684,8.022960000000001
57.9377,-169.2047,69.0,-1.68,8.022960000000001
57.9377,-169.2047,69.0,-1.684,8.022960000000001
57.9143,-169.2295,69.0,-1.708,8.022960000000001
57.9143,-169.2295,69.0,-1.689,8.022960000000001
57.9143,-169.2295,69.0,-1.689,8.022960000000001
57.9008,-169.1642,70.0,-1.702,7.99092
57.9008,-169.1642,70.0,-1.702,7.99092
57.9008,-169.1642,70.0,-1.698,7.99092
57.9008,-169.1642,70.0,-1.699,7.99092
57.9008,-169.1642,70.0,-1.699,7.99092
57.9008,-169.1642,70.0,-1.698,7.99092
57.9008,-169.1642,70.0,-1.695,7.99092
57.9008,-169.1642,70.0,-1.691,7.99092
58.8333,-168.1568,45.0,-1.7,8.03138
58.8333,-168.1568,45.0,-1.701,8.03138
58.8333,-168.1568,45.0,-1.701,8.03138
58.8333,-168.1568,45.0,-1.7,8.03138
58.8333,-168.1568,45.0,-1.667,8.06104
58.59,-168.4215,55.0,-1.701,8.075719999999999
58.59,-168.4215,55.0,-1.701,8.075719999999999
58.59,-168.4215,55.0,-1.701,8.075719999999999
58.59,-168.4215,55.0,-1.702,8.075719999999999
58.59,-168.4215,55.0,-1.703,8.075719999999999
58.59,-168.4215,55.0,-1.697,8.075719999999999
58.366,-168.7042,68.0,-1.711,8.03222
58.366,-168.7042,68.0,-1.71,8.03222
58.366,-168.7042,68.0,-1.709,8.03222
58.366,-168.7042,68.0,-1.708,8.03222
58.366,-168.7042,68.0,-1.708,8.03222
58.366,-168.7042,68.0,-1.708,8.03222
58.366,-168.7042,68.0,-1.706,8.03222
