latitude,longitude,depth,temperature,oxygen,pH
58.3578,-168.7042,66.0,-1.713,366.68,8.1054
58.3578,-168.7042,66.0,-1.712,366.58,8.0996
58.3578,-168.7042,66.0,-1.712,366.23,8.1166
58.3578,-168.7042,66.0,-1.711,365.91,8.0878
58.3578,-168.7042,66.0,-1.699,365.37,8.0687
58.5938,-168.4445,55.0,-1.709,368.61,8.0696
58.5938,-168.4445,55.0,-1.71,368.46,8.0701
58.5938,-168.4445,55.0,-1.71,368.43,8.0705
58.5938,-168.4445,55.0,-1.709,368.21,8.0709
58.5938,-168.4445,55.0,-1.709,368.03,8.0714
58.5938,-168.4445,55.0,-1.698,367.1,8.0966
58.8245,-168.1973,47.0,-1.71,371.22,8.0816
58.8245,-168.1973,47.0,-1.711,371.1,8.0747
58.8245,-168.1973,47.0,-1.699,371.3,8.0803
58.8245,-168.1973,47.0,-1.708,359.716,8.1105
59.0487,-167.9052,43.0,-1.704,350.72200000000004,8.0832
59.4552,-167.7942,38.0,-1.734,376.66,8.0682
59.4552,-167.7942,38.0,-1.724,376.51,8.0929
59.4552,-167.7942,38.0,-1.718,376.52,8.1098
59.4552,-167.7942,38.0,-1.711,376.58,8.0738
59.508,-167.729,35.0,-1.74,378.29,8.0805
59.508,-167.729,35.0,-1.741,378.25,8.0737
59.508,-167.729,35.0,-1.742,377.96,8.0836
59.508,-167.729,35.0,-1.736,376.5,8.1032
59.8667,-167.9942,31.0,-1.719,375.06,7.8833
59.8667,-167.9942,31.0,-1.714,374.27,7.8763
59.8667,-167.9942,31.0,-1.68,372.41,7.876
59.8667,-167.9942,31.0,-1.678,370.76,7.9275
59.9038,-168.5867,40.0,-1.63,369.81,7.9632
59.9038,-168.5867,40.0,-1.635,354.338,7.9515
59.8953,-169.2033,45.0,-1.659,367.18,8.0647
59.8953,-169.2033,45.0,-1.659,367.13,8.07
59.8953,-169.2033,45.0,-1.653,366.92,8.0066
59.8953,-169.2033,45.0,-1.656,366.46,8.1526
59.8953,-169.2033,45.0,-1.655,365.95,8.0144
59.9032,-169.7947,54.0,-1.682,363.32,8.0189
59.9032,-169.7947,54.0,-1.673,363.88,8.0633
59.9037,-170.3983,60.0,-1.687,362.94,8.0114
59.9037,-170.3983,60.0,-1.696,365.2,8.017
59.9037,-170.3983,60.0,-1.707,366.26,8.0072
59.9037,-170.3983,60.0,-1.708,366.38,8.0457
59.9037,-170.3983,60.0,-1.707,365.06,8.0581
59.904,-170.9568,71.0,-1.708,364.64,8.0218
59.904,-170.9568,71.0,-1.708,364.05,7.9919
59.909,-171.5652,70.0,-1.72,364.51,8.1036
59.909,-171.5652,70.0,-1.721,364.4,8.0695
59.909,-171.5652,70.0,-1.721,364.31,8.0583
59.909,-171.5652,70.0,-1.721,364.62,8.0703
59.909,-171.5652,70.0,-1.721,364.66,8.0563
59.909,-171.5652,70.0,-1.721,364.76,8.0885
59.909,-171.5652,70.0,-1.707,364.75,8.0644
59.909,-171.5652,70.0,-1.704,364.54799999999994,8.0613
59.8978,-172.1873,72.0,-1.729,367.88,8.0699
59.8978,-172.1873,72.0,-1.73,367.93,8.0707
59.8978,-172.1873,72.0,-1.73,367.93,8.0711
59.8978,-172.1873,72.0,-1.73,368.04,8.0716
59.8978,-172.1873,72.0,-1.729,368.03,8.0965
59.8978,-172.1873,72.0,-1.73,368.03,8.0724
59.8978,-172.1873,72.0,-1.726,367.962,8.076
59.8813,-172.7282,65.0,-1.601,361.41,7.9836
59.8813,-172.7282,65.0,-1.636,362.71,7.9851
59.8813,-172.7282,65.0,-1.711,365.12,7.9795
59.8813,-172.7282,65.0,-1.72,365.56,7.9844
59.8813,-172.7282,65.0,-1.721,365.29,7.9954
59.8813,-172.7282,65.0,-1.722,365.02,8.0064
59.8813,-172.7282,65.0,-1.715,364.76,7.9904
59.8813,-172.7282,65.0,-1.698,364.89,7.9857
59.8762,-173.3713,87.0,-1.673,367.27,8.0092
59.8762,-173.3713,87.0,-1.635,367.04,7.9757
59.911,-174.0243,103.0,-1.172,351.7,8.1383
59.911,-174.0243,103.0,-1.726,360.27,8.131
59.911,-174.0243,103.0,-1.74,367.19,8.1005
59.911,-174.0243,103.0,-1.742,367.41,8.074
59.911,-174.0243,103.0,-1.742,366.92,8.0635
59.911,-174.0243,103.0,-1.743,366.76,8.0774
59.911,-174.0243,103.0,-1.685,366.26,8.0956
59.9028,-174.6178,112.0,-0.563,342.56,8.0311
59.9028,-174.6178,112.0,-1.236,350.44,8.0482
59.9028,-174.6178,112.0,-1.717,361.12,8.0615
59.9028,-174.6178,112.0,-1.75,368.56,8.0638
59.9028,-174.6178,112.0,-1.752,368.72,8.0644
59.9028,-174.6178,112.0,-1.752,368.71,8.0648
59.9028,-174.6178,112.0,-1.752,368.54,8.0654
59.9028,-174.6178,112.0,-1.743,368.23,8.2515
59.9028,-174.6178,112.0,-1.744,367.13,8.107
59.9157,-175.2295,120.0,0.241,337.12,8.045
59.9157,-175.2295,120.0,0.23,337.28,8.0174
59.9157,-175.2295,120.0,-1.746,369.02,8.0895
59.9157,-175.2295,120.0,-1.746,368.89,8.0835
59.9157,-175.2295,120.0,-1.746,369.01,8.0275
59.9157,-175.2295,120.0,-1.745,369.19,8.0289
59.9157,-175.2295,120.0,-1.745,369.46,8.033
59.9157,-175.2295,120.0,-1.746,369.0,8.0433
59.9045,-175.8032,132.0,0.674,330.84,7.987
59.9045,-175.8032,132.0,0.673,336.47,7.9903
59.9045,-175.8032,132.0,0.428,342.22,8.001
59.9045,-175.8032,132.0,-1.746,366.36,8.0586
59.9045,-175.8032,132.0,-1.746,366.64,8.0595
59.9045,-175.8032,132.0,-1.746,366.74,8.06
59.9045,-175.8032,132.0,-1.745,366.49,8.1178
59.9045,-175.8032,132.0,-1.738,361.69,8.1267
59.9008,-176.4412,141.0,0.663,334.79,7.9887
59.9008,-176.4412,141.0,-1.738,366.77,8.1941
59.9008,-176.4412,141.0,-1.738,366.63,8.1238
59.9008,-176.4412,141.0,-1.741,366.8,8.1193
59.9008,-176.4412,141.0,-1.741,366.88,8.1558
59.9008,-176.4412,141.0,-1.741,366.99,8.1465
59.9008,-176.4412,141.0,-1.73,367.3,8.1376
59.9008,-176.4412,141.0,-1.702,367.25,8.121
59.9102,-176.9652,141.0,-1.719,369.56,8.0922
59.9102,-176.9652,141.0,-1.72,369.31,8.2907
59.8917,-178.1935,144.0,1.217,331.03,8.058
59.8917,-178.1935,144.0,1.202,331.47,8.0607
59.8917,-178.1935,144.0,1.104,333.19,8.0735
59.8917,-178.1935,144.0,0.819,342.27,8.0857
59.8917,-178.1935,144.0,0.215,345.4,8.1026
59.8917,-178.1935,144.0,-1.631,364.18,8.15
59.8917,-178.1935,144.0,-1.711,365.94,8.1667
59.8917,-178.1935,144.0,-1.717,366.21,8.1641
59.8917,-178.1935,144.0,-1.718,366.22,8.1648
59.8917,-178.1935,144.0,-1.717,366.2,8.1715
59.907,-179.4262,2685.0,1.712,71.2,7.6389
59.907,-179.4262,2685.0,1.925,49.05,7.6593
59.907,-179.4262,2685.0,2.354,25.89,7.6139
59.907,-179.4262,2685.0,2.704,17.53,7.6294
59.907,-179.4262,2685.0,3.286,18.58,7.6286
59.907,-179.4262,2685.0,3.617,30.17,7.6159
59.907,-179.4262,2685.0,3.896,145.29,7.7443
59.907,-179.4262,2685.0,1.23,325.86,8.0319
59.907,-179.4262,2685.0,-1.574,360.56,8.0814
59.907,-179.4262,2685.0,-1.652,362.55,8.078
59.907,-179.4262,2685.0,-1.687,362.02,8.095
59.907,-179.4262,2685.0,-1.688,361.9,8.1084
62.2198,-175.9375,93.0,-1.349,292.41,7.9884
62.2198,-175.9375,93.0,-1.721,325.85,8.0402
62.2198,-175.9375,93.0,-1.72,326.15,8.0625
62.2198,-175.9375,93.0,-1.722,325.83,8.0545
62.2198,-175.9375,93.0,-1.716,319.44,8.0425
62.2128,-175.534,87.0,-1.719,329.79,7.9468
62.2128,-175.534,87.0,-1.71,352.56399999999996,7.9549
62.19,-175.1407,82.0,-1.776,333.93,8.0442
62.19,-175.1407,82.0,-1.777,333.79,8.0246
62.19,-175.1407,82.0,-1.778,332.21,8.0438
62.19,-175.1407,82.0,-1.776,329.91,8.021
62.19,-175.1407,82.0,-1.762,325.48,8.0214
62.19,-175.1407,82.0,-1.758,331.56,8.0221
62.19,-175.1407,82.0,-1.751,331.78,7.9907
62.19,-175.1407,82.0,-1.749,331.394,8.0493
62.1938,-174.635,74.0,-1.777,334.31,8.0192
62.1938,-174.635,74.0,-1.778,334.4,8.0199
62.1938,-174.635,74.0,-1.779,335.29,8.0205
62.1938,-174.635,74.0,-1.783,342.51,8.0293
62.1938,-174.635,74.0,-1.782,344.6,8.0311
62.1938,-174.635,74.0,-1.782,344.61,8.0499
62.1938,-174.635,74.0,-1.78,340.282,8.0376
62.1452,-173.9942,65.0,-1.507,307.26,7.896
62.1452,-173.9942,65.0,-1.487,306.04,7.9164
62.1452,-173.9942,65.0,-1.746,323.66,7.9198
62.1452,-173.9942,65.0,-1.743,323.49,7.8957
62.1452,-173.9942,65.0,-1.737,321.93,7.9279
62.1452,-173.9942,65.0,-1.736,321.38,7.9455
62.1452,-173.9942,65.0,-1.711,320.52,7.9407
62.0878,-173.3268,62.0,-1.745,331.31,7.9127
62.0878,-173.3268,62.0,-1.744,336.73400000000004,7.9252
62.0525,-172.6417,55.0,-1.729,356.54,8.0227
62.0525,-172.6417,55.0,-1.726,356.89,8.0489
62.0525,-172.6417,55.0,-1.727,357.12,8.0549
62.0525,-172.6417,55.0,-1.73,358.97,8.0337
62.0525,-172.6417,55.0,-1.73,359.08,8.0314
62.0525,-172.6417,55.0,-1.725,358.42,8.0145
61.9972,-171.9265,55.0,-1.719,357.24,8.0695
61.9972,-171.9265,55.0,-1.719,357.32,8.0699
61.9972,-171.9265,55.0,-1.719,357.45,8.0702
61.9972,-171.9265,55.0,-1.72,357.45,8.0707
61.9972,-171.9265,55.0,-1.721,357.96,8.0887
61.9972,-171.9265,55.0,-1.716,358.45,8.4228
61.962,-171.2102,53.0,-1.747,341.71,7.9517
61.962,-171.2102,53.0,-1.745,342.21,7.9498
61.962,-171.2102,53.0,-1.75,350.02,7.9404
61.962,-171.2102,53.0,-1.756,356.43,7.9544
61.962,-171.2102,53.0,-1.728,356.67,7.9731
61.962,-171.2102,53.0,-1.748,356.62,8.0488
61.8827,-170.5725,50.0,-1.744,360.01,7.9902
61.8827,-170.5725,50.0,-1.728,359.55,7.9961
61.8453,-169.8523,45.0,-1.753,334.76,7.9516
61.8453,-169.8523,45.0,-1.753,335.08,7.9565
61.8453,-169.8523,45.0,-1.753,339.46,7.9928
61.8453,-169.8523,45.0,-1.738,358.38,8.0308
61.8453,-169.8523,45.0,-1.733,358.92,8.0654
61.8453,-169.8523,45.0,-1.73,358.43,8.0557
61.8143,-169.167,40.0,-1.786,350.07,8.0004
61.8143,-169.167,40.0,-1.782,349.25,8.0089
61.767,-168.4693,35.0,-1.751,358.31,7.9718
61.767,-168.4693,35.0,-1.741,359.68,7.9551
61.767,-168.4693,35.0,-1.739,360.07,7.9885
61.767,-168.4693,35.0,-1.737,360.2,7.9603
61.767,-168.4693,35.0,-1.739,360.76,7.9723
61.7195,-167.832,29.0,-1.736,361.03,8.1259
61.7195,-167.832,29.0,-1.736,360.91,8.0367
61.7195,-167.832,29.0,-1.735,360.65,8.0374
61.7195,-167.832,29.0,-1.709,360.09000000000003,8.0855
57.522,-175.2868,3445.0,1.591,93.42,7.6638
57.522,-175.2868,3445.0,1.709,72.06,7.6616
57.522,-175.2868,3445.0,1.914,52.13,7.6311
57.522,-175.2868,3445.0,2.095,38.15,7.653
57.522,-175.2868,3445.0,2.366,25.44,7.6143
57.522,-175.2868,3445.0,2.779,20.72,7.6195
57.522,-175.2868,3445.0,3.04,19.47,7.5958
57.522,-175.2868,3445.0,3.356,24.28,7.5966
57.522,-175.2868,3445.0,3.676,49.73,7.5847
57.522,-175.2868,3445.0,3.855,71.84,7.6313
57.522,-175.2868,3445.0,3.916,131.58,7.6875
57.522,-175.2868,3445.0,2.807,262.91,7.8909
57.5322,-175.284,3443.0,3.927,124.78,7.7302
57.5322,-175.284,3443.0,3.858,170.02,7.7933
57.5322,-175.284,3443.0,1.537,329.65,7.968
57.5322,-175.284,3443.0,1.783,329.6,7.9612
57.5322,-175.284,3443.0,2.182,320.02,7.924
57.5322,-175.284,3443.0,2.068,332.8,7.9582
57.5322,-175.284,3443.0,2.604,308.2,7.9489
57.5322,-175.284,3443.0,2.397,339.56,8.0235
57.5322,-175.284,3443.0,2.398,339.35,8.0101
57.5322,-175.284,3443.0,2.408,339.62,7.9979
59.3495,-175.815,138.0,0.856,327.15,7.9684
59.3495,-175.815,138.0,0.901,327.04,7.977
59.3495,-175.815,138.0,0.868,331.03,7.9854
59.3495,-175.815,138.0,0.273,341.74,8.0028
59.3495,-175.815,138.0,-1.664,366.93,8.0573
59.3495,-175.815,138.0,-1.701,367.76,8.0738
59.3495,-175.815,138.0,-1.672,375.61,8.1077
59.3495,-175.815,138.0,-1.628,385.24,8.1018
59.3495,-175.815,138.0,-1.63,386.17,8.1301
59.3495,-175.815,138.0,-1.633,386.5,8.1453
62.1962,-174.7118,73.0,-1.768,324.41,8.0231
62.1962,-174.7118,73.0,-1.78,343.48,8.0356
62.1962,-174.7118,73.0,-1.763,348.84,8.0431
62.1962,-174.7118,73.0,-1.746,364.94,8.0477
62.1962,-174.7118,73.0,-1.748,368.32,8.0494
62.1962,-174.7118,73.0,-1.745,372.98,8.051
62.1962,-174.7118,73.0,-1.744,373.62,8.0515
61.9292,-174.3213,74.0,-1.698,310.49,7.9671
61.9292,-174.3213,74.0,-1.732,319.4,7.971
61.9292,-174.3213,74.0,-1.76,326.7,7.965
61.9292,-174.3213,74.0,-1.754,322.8,7.9621
61.9292,-174.3213,74.0,-1.732,340.46,7.9814
61.9292,-174.3213,74.0,-1.732,339.71,7.9809
61.9292,-174.3213,74.0,-1.733,338.76,7.9758
61.9292,-174.3213,74.0,-1.721,339.44,7.9567
61.7337,-173.8545,72.0,-1.724,317.73,7.9449
61.7337,-173.8545,72.0,-1.717,334.47999999999996,7.893
61.4307,-173.725,73.0,-1.695,344.89,8.4576
61.4307,-173.725,73.0,-1.698,343.43,7.9808
61.0688,-173.829,72.0,-1.706,349.13,8.0039
61.0688,-173.829,72.0,-1.703,348.14,7.9707
60.7407,-173.6548,71.0,-1.714,365.48,8.0091
60.7407,-173.6548,71.0,-1.711,364.96,8.0001
60.4308,-173.5695,64.0,-1.718,363.0,7.985
60.4308,-173.5695,64.0,-1.695,364.61199999999997,8.0014
60.1157,-173.3428,74.0,-1.401,350.22,7.9734
60.1157,-173.3428,74.0,-1.483,352.44,7.9847
60.1157,-173.3428,74.0,-1.606,356.26,8.0017
60.1157,-173.3428,74.0,-1.612,356.93,8.0095
60.1157,-173.3428,74.0,-1.627,358.91,8.0101
60.1157,-173.3428,74.0,-1.633,364.04,8.0243
60.1157,-173.3428,74.0,-1.684,374.45,8.0304
60.1157,-173.3428,74.0,-1.675,362.11800000000005,8.0426
59.9768,-172.746,71.0,-1.699,357.23,8.0691
59.9768,-172.746,71.0,-1.699,357.38,8.0698
59.9768,-172.746,71.0,-1.697,357.26,8.0702
59.9768,-172.746,71.0,-1.695,357.45,8.0706
59.9768,-172.746,71.0,-1.699,361.34,8.0711
59.9768,-172.746,71.0,-1.691,361.5,8.0203
59.9768,-172.746,71.0,-1.67,361.72,8.0039
59.7787,-171.4588,72.0,-1.691,364.09,7.9883
59.7787,-171.4588,72.0,-1.681,364.15,8.0028
59.5948,-170.9217,72.0,-1.67,359.14,8.0642
59.5948,-170.9217,72.0,-1.67,358.87,8.0645
59.5948,-170.9217,72.0,-1.67,359.1,8.0649
59.5948,-170.9217,72.0,-1.67,359.1,8.0651
59.5948,-170.9217,72.0,-1.666,362.51,8.0644
59.5948,-170.9217,72.0,-1.659,365.46,8.0632
59.5948,-170.9217,72.0,-1.665,366.06,8.0537
59.5948,-170.9217,72.0,-1.663,366.35,8.0737
59.3187,-170.6227,70.0,-1.649,358.22,8.0645
59.3187,-170.6227,70.0,-1.649,358.13,8.0647
59.3187,-170.6227,70.0,-1.65,358.57,8.0651
59.3187,-170.6227,70.0,-1.629,367.95,8.0588
59.3187,-170.6227,70.0,-1.62,368.16,8.0593
59.3187,-170.6227,70.0,-1.622,368.44,8.0589
59.3187,-170.6227,70.0,-1.636,368.09,8.0602
59.3187,-170.6227,70.0,-1.64,368.3,8.0471
59.101,-170.2673,68.0,-1.658,359.07,8.0238
59.101,-170.2673,68.0,-1.658,359.13,8.0267
59.101,-170.2673,68.0,-1.66,359.08,8.0274
59.101,-170.2673,68.0,-1.658,359.38,8.0344
59.101,-170.2673,68.0,-1.658,364.76,8.0354
59.101,-170.2673,68.0,-1.657,365.19,8.0551
59.101,-170.2673,68.0,-1.659,364.43,8.0624
59.101,-170.2673,68.0,-1.66,362.56800000000004,8.0748
58.7758,-170.2935,72.0,-1.612,374.66,8.0227
58.7758,-170.2935,72.0,-1.611,374.11,8.0827
58.4402,-170.1862,74.0,-1.418,354.95,8.0644
58.4402,-170.1862,74.0,-1.417,355.05,8.0648
58.4402,-170.1862,74.0,-1.442,357.73,8.0656
58.4402,-170.1862,74.0,-1.249,371.81,8.0625
58.4402,-170.1862,74.0,-1.351,373.25,8.0637
58.4402,-170.1862,74.0,-1.521,377.99,8.0627
58.4402,-170.1862,74.0,-1.522,378.03,8.0679
58.4402,-170.1862,74.0,-1.515,376.38,8.0394
58.144,-169.9192,71.0,-1.455,375.57,8.0847
58.144,-169.9192,71.0,-1.461,333.05999999999995,8.0338
57.9585,-169.3712,68.0,-1.61,364.0,8.0671
57.9585,-169.3712,68.0,-1.552,365.98,8.0655
57.9585,-169.3712,68.0,-1.515,369.75,8.0651
57.9585,-169.3712,68.0,-1.516,371.38,8.0654
57.9585,-169.3712,68.0,-1.523,371.58,8.0658
57.9585,-169.3712,68.0,-1.533,371.5,8.0703
57.9585,-169.3712,68.0,-1.524,370.038,8.0741
57.9073,-169.0622,68.0,-1.567,334.978,8.0693
57.8443,-168.9047,70.0,-1.411,365.36,8.0649
57.8443,-168.9047,70.0,-1.411,365.5,8.0652
57.8443,-168.9047,70.0,-1.411,365.39,8.0656
57.8443,-168.9047,70.0,-1.411,365.34,8.066
57.8443,-168.9047,70.0,-1.412,367.65,8.0663
57.8443,-168.9047,70.0,-1.457,377.0,8.0666
57.8443,-168.9047,70.0,-1.49,376.65,8.0844
57.8443,-168.9047,70.0,-1.498,376.0,8.0731
57.6275,-168.8282,70.0,-1.307,354.56,8.0576
57.6275,-168.8282,70.0,-1.309,354.82,8.0601
57.6275,-168.8282,70.0,-1.357,358.73,8.0654
57.6275,-168.8282,70.0,-1.364,365.63,8.0702
57.6275,-168.8282,70.0,-1.189,406.94,8.13
57.6275,-168.8282,70.0,-1.227,401.67,8.1583
57.6275,-168.8282,70.0,-1.227,400.22,8.157
57.6275,-168.8282,70.0,-1.227,383.642,8.1558
57.4945,-167.3435,72.0,-1.092,361.88,8.0592
57.4945,-167.3435,72.0,-1.098,362.12,8.0597
57.4945,-167.3435,72.0,-1.139,363.16,8.0609
57.4945,-167.3435,72.0,-1.287,372.55,8.0638
57.4945,-167.3435,72.0,-1.304,373.16,8.0648
57.4945,-167.3435,72.0,-1.396,373.47,8.0666
57.4945,-167.3435,72.0,-1.409,373.55,8.0665
57.4945,-167.3435,72.0,-1.396,373.65,8.0834
57.5328,-167.0313,71.0,-1.238,369.34,8.0619
57.5328,-167.0313,71.0,-1.24,369.27,8.0622
57.5328,-167.0313,71.0,-1.26,370.25,8.063
57.5328,-167.0313,71.0,-1.274,370.69,8.0637
57.5328,-167.0313,71.0,-1.309,371.49,8.0646
57.5328,-167.0313,71.0,-1.421,373.47,8.0667
57.5328,-167.0313,71.0,-1.425,373.29,8.0672
57.5328,-167.0313,71.0,-1.422,371.838,8.0839
57.4312,-166.5287,69.0,-1.337,370.51,8.0635
57.4312,-166.5287,69.0,-1.337,370.62,8.0637
57.4312,-166.5287,69.0,-1.34,370.5,8.0642
57.4312,-166.5287,69.0,-1.347,370.66,8.0647
57.4312,-166.5287,69.0,-1.436,372.6,8.0663
57.4312,-166.5287,69.0,-1.451,373.33,8.0669
57.4312,-166.5287,69.0,-1.44,373.63,8.0658
57.4312,-166.5287,69.0,-1.442,372.144,8.0561
57.1037,-165.6172,72.0,-1.353,370.22,7.9531
57.1037,-165.6172,72.0,-1.348,370.38,7.9662
57.1037,-165.6172,72.0,-1.35,370.09,7.9709
57.1037,-165.6172,72.0,-1.346,370.28,7.9778
57.1037,-165.6172,72.0,-1.328,370.22,7.9885
57.1037,-165.6172,72.0,-1.308,370.33,8.0004
57.1037,-165.6172,72.0,-1.295,370.13,7.9938
57.1037,-165.6172,72.0,-1.292,370.2679999999999,7.9907
56.8585,-165.1207,75.0,-0.645,329.06,8.0502
56.8585,-165.1207,75.0,-0.712,333.34,8.0519
56.8585,-165.1207,75.0,-1.143,393.04,8.0605
56.8585,-165.1207,75.0,-1.127,406.81,8.0612
56.8585,-165.1207,75.0,-1.108,409.07,8.0613
56.8585,-165.1207,75.0,-1.095,411.12,8.0616
56.8585,-165.1207,75.0,-1.095,411.77,8.1255
56.8585,-165.1207,75.0,-1.1,409.57,8.1204
56.851,-164.512,75.0,-0.66,329.91,8.0507
56.851,-164.512,75.0,-1.059,336.37,8.0583
56.851,-164.512,75.0,-1.092,337.59,8.0592
56.851,-164.512,75.0,-1.266,348.82,8.0626
56.851,-164.512,75.0,-0.963,437.15,8.0612
56.851,-164.512,75.0,-0.966,437.54,8.0619
56.851,-164.512,75.0,-0.968,436.86,8.2419
56.851,-164.512,75.0,-0.96,435.43,8.2488
56.8445,-164.0662,72.0,-0.8,341.2,8.0542
56.8445,-164.0662,72.0,-0.839,342.92,8.0553
56.8445,-164.0662,72.0,-0.918,349.74,8.0574
56.8445,-164.0662,72.0,-1.102,437.78,8.0629
56.8445,-164.0662,72.0,-1.076,441.02,8.0636
56.8445,-164.0662,72.0,-1.042,443.74,8.0635
56.8445,-164.0662,72.0,-1.04,442.61,8.2807
56.8445,-164.0662,72.0,-1.036,422.97799999999995,8.2938
57.0002,-163.8993,70.0,0.624,334.45,8.143
57.0002,-163.8993,70.0,0.665,336.55,8.1424
57.0002,-163.8993,70.0,0.686,336.76,8.1428
57.0002,-163.8993,70.0,4.696,348.76,8.1039
57.0002,-163.8993,70.0,5.331,338.67,8.094
57.0002,-163.8993,70.0,5.341,336.85,8.0942
57.0012,-163.9052,70.0,0.681,336.6,8.1417
57.0012,-163.9052,70.0,0.713,338.31,8.1436
57.0012,-163.9052,70.0,0.762,340.19,8.1434
57.0012,-163.9052,70.0,0.91,343.43,8.1513
57.0012,-163.9052,70.0,4.614,357.23,8.1028
57.0012,-163.9052,70.0,5.031,346.38,8.0985
57.0012,-163.9052,70.0,5.367,339.0,8.0936
57.0012,-163.9052,70.0,5.318,338.55,8.0946
56.704,-164.511,74.0,0.658,314.0,8.1119
56.704,-164.511,74.0,0.66,314.75,8.1126
56.704,-164.511,74.0,0.712,317.71,8.1142
56.704,-164.511,74.0,2.728,373.76,8.1032
56.704,-164.511,74.0,4.884,351.9,8.0934
56.704,-164.511,74.0,5.628,337.57,8.0839
56.704,-164.511,74.0,5.627,334.71,8.084
56.4305,-165.3033,81.0,1.202,261.82,8.0687
56.4305,-165.3033,81.0,1.205,262.14,8.0694
56.4305,-165.3033,81.0,1.215,263.91,8.0696
56.4305,-165.3033,81.0,2.489,354.92,8.1229
56.4305,-165.3033,81.0,2.655,366.48,8.1246
56.4305,-165.3033,81.0,5.193,357.89,8.0962
56.4305,-165.3033,81.0,6.626,334.66,8.0698
56.4305,-165.3033,81.0,6.606,332.92,8.0704
56.138,-166.1062,109.0,3.202,274.56,7.951
56.138,-166.1062,109.0,3.502,294.24,7.9692
56.138,-166.1062,109.0,3.929,321.27,7.9825
56.138,-166.1062,109.0,4.465,335.83,7.9794
56.138,-166.1062,109.0,3.787,325.54,8.0267
56.138,-166.1062,109.0,3.967,326.44,8.0494
56.138,-166.1062,109.0,6.689,364.51,8.0362
56.138,-166.1062,109.0,7.536,349.57,8.0297
56.138,-166.1062,109.0,7.532,347.96,8.0299
56.1457,-166.1117,111.0,7.318,353.47,8.0318
55.8473,-166.9042,136.0,3.234,236.0,7.8979
55.8473,-166.9042,136.0,3.207,244.1,7.8949
55.8473,-166.9042,136.0,3.128,291.41,7.9529
55.8473,-166.9042,136.0,3.357,320.54,8.0601
55.8473,-166.9042,136.0,4.018,321.73,8.0378
55.8473,-166.9042,136.0,4.586,372.92,8.0672
55.8473,-166.9042,136.0,6.816,353.63,8.0363
55.8473,-166.9042,136.0,7.307,333.64,8.0359
55.8473,-166.9042,136.0,7.306,333.06,8.0363
55.3073,-168.4148,1656.0,2.115,37.46,7.6178
55.3073,-168.4148,1656.0,2.301,31.05,7.6268
55.3073,-168.4148,1656.0,2.607,23.48,7.6422
55.3073,-168.4148,1656.0,2.99,18.75,7.6585
55.3073,-168.4148,1656.0,3.371,28.89,7.6693
55.3073,-168.4148,1656.0,3.696,78.57,7.7008
55.3073,-168.4148,1656.0,3.76,210.1,7.8202
55.3073,-168.4148,1656.0,3.633,230.63,7.8336
55.3073,-168.4148,1656.0,3.836,236.95,7.8581
55.3073,-168.4148,1656.0,4.001,239.39,7.8653
55.3073,-168.4148,1656.0,4.074,249.41,7.9511
