State,Abbreviation,County,Population,Temperature,Precipitation,Elevation,Electricity-Prices,Wage,Population_Class,Temperature_Class,Precipitation_Class,Elevation_Class,Electricity-Prices_Class,Wage_Class
Alabama,AL,Etowah,103088,62.5,57.68,233.494425594,14.21,42558.0,2,3,1,5,1,6
Alabama,AL,Fayette,16118,63.7,59.17,148.473401878,14.21,41672.0,5,3,1,6,1,7
Alabama,AL,Franklin,31932,61.9,60.43,226.886175316,14.21,40810.0,4,3,1,5,1,7
Alabama,AL,Geneva,26783,68.0,45.2,64.6991362764,14.21,41569.0,4,1,3,7,1,7
Alabama,AL,Greene,7422,65.2,57.03,50.7776417789,14.21,40461.0,6,3,1,7,1,7
Alabama,AL,Hale,14595,65.1,52.94,64.2736401674,14.21,44085.0,5,3,2,7,1,6
Alabama,AL,Henry,17655,67.5,45.45,99.8453038674,14.21,51184.0,5,1,3,6,1,4
Alabama,AL,Houston,108079,68.3,40.44,66.6557835821,14.21,50976.0,2,1,4,7,1,4
Alabama,AL,Jackson,52891,60.5,57.75,320.258369723,14.21,43565.0,3,4,1,3,1,6
Alabama,AL,Jefferson,665409,63.9,53.63,175.195795339,14.21,62371.0,1,3,1,5,1,2
Alabama,AL,Lamar,13705,64.1,57.29,120.918423465,14.21,40114.0,5,3,1,6,1,7
Alabama,AL,Lauderdale,95878,60.8,55.57,194.816228233,14.21,44804.0,2,3,1,5,1,6
Alabama,AL,Lawrence,33214,61.2,56.46,206.673656119,14.21,42996.0,4,3,1,5,1,6
Alabama,AL,Lee,180773,64.4,58.36,187.378893538,14.21,45002.0,1,3,1,5,1,6
Alabama,AL,Limestone,110900,60.9,56.91,210.340330505,14.21,50326.0,2,3,1,5,1,4
Alabama,AL,Lowndes,9777,66.9,51.2,76.4832627934,14.21,48852.0,6,1,2,6,1,4
Alabama,AL,Macon,18516,65.7,55.4,100.047361299,14.21,38412.0,5,3,1,6,1,7
Alabama,AL,Madison,403565,61.4,57.92,242.428242265,14.21,59852.0,1,3,1,5,1,2
Alabama,AL,Marengo,18745,66.2,53.62,55.1040711009,14.21,47008.0,5,1,1,7,1,5
Alabama,AL,Marion,29156,62.8,60.48,193.435821993,14.21,40939.0,4,3,1,5,1,7
Alabama,AL,Marshall,99423,62.0,59.21,268.3361494,14.21,44416.0,2,3,1,4,1,6
Alabama,AL,Mobile,411411,69.7,55.93,37.6024534303,14.21,46418.0,1,1,1,7,1,5
Alabama,AL,Monroe,19404,67.3,50.48,82.0580381471,14.21,42872.0,5,1,2,6,1,6
Alabama,AL,Montgomery,226361,66.6,52.66,82.4011279521,14.21,50337.0,1,1,2,6,1,4
Alabama,AL,Morgan,124211,61.8,58.97,214.327514929,14.21,47479.0,2,3,1,5,1,5
Alabama,AL,Perry,8035,65.4,51.06,84.2882882883,14.21,40414.0,6,3,2,6,1,7
Alabama,AL,Pickens,18697,64.9,61.59,83.137643056,14.21,43039.0,5,3,1,6,1,6
Alabama,AL,Pike,33014,66.5,52.25,131.160118293,14.21,44659.0,4,1,2,6,1,6
Alabama,AL,Randolph,22479,62.5,59.01,279.050290135,14.21,41750.0,4,3,1,4,1,7
Alabama,AL,Russell,58555,65.6,53.59,103.238888889,14.21,39378.0,2,3,1,6,1,7
Alabama,AL,St. Clair,93932,63.1,59.89,212.981686542,14.21,47117.0,2,3,1,5,1,5
Alabama,AL,Shelby,230115,63.9,55.69,176.317818687,14.21,64350.0,1,3,1,5,1,1
Alabama,AL,Sumter,11853,65.8,54.08,52.6508277131,14.21,38253.0,6,3,1,7,1,7
Alabama,AL,Talladega,80704,63.7,61.64,186.728176796,14.21,40668.0,2,3,1,5,1,7
Alabama,AL,Tallapoosa,40977,63.7,61.53,192.20682148,14.21,48344.0,3,3,1,5,1,5
Alabama,AL,Tuscaloosa,236780,64.5,55.03,109.899959083,14.21,43439.0,1,3,1,6,1,6
Alabama,AL,Walker,64339,63.4,57.81,143.746031746,14.21,47239.0,2,3,1,6,1,5
Alabama,AL,Washington,15122,67.7,61.42,45.1243870968,14.21,45956.0,5,1,1,7,1,5
Alabama,AL,Wilcox,10059,66.9,51.76,60.2302003082,14.21,39354.0,6,1,2,7,1,7
Alabama,AL,Winston,23755,61.7,63.59,219.935357918,14.21,41700.0,4,3,1,5,1,7
Arizona,AZ,Apache,65432,50.2,13.48,1997.61751039,11.46,45671.0,2,5,7,1,4,5
Arizona,AZ,Cochise,125663,60.6,11.38,1412.73296733,11.46,49096.0,2,4,7,1,4,4
Arizona,AZ,Coconino,144060,52.0,16.22,1802.50169982,11.46,56914.0,2,7,7,1,4,2
Arizona,AZ,Gila,53922,59.1,21.35,1420.98843202,11.46,48752.0,3,4,6,1,4,5
Arizona,AZ,Graham,38779,60.8,13.3,1384.11193356,11.46,38785.0,3,3,7,1,4,7
Arizona,AZ,Greenlee,9302,56.2,16.04,1740.4341545,11.46,48079.0,6,6,7,1,4,5
Arizona,AZ,La Paz,16506,71.1,6.02,417.637305382,11.46,49933.0,5,1,7,3,4,4
Arizona,AZ,Maricopa,4551524,70.0,8.67,511.040303103,11.46,59759.0,1,1,7,2,4,2
Arizona,AZ,Mohave,220816,61.5,12.16,1148.93434799,11.46,41331.0,1,3,7,1,4,7
Arizona,AZ,Navajo,108650,51.4,14.0,1833.61225715,11.46,41680.0,2,7,7,1,4,7
Arizona,AZ,Pima,1057597,67.1,10.1,806.67112486,11.46,52942.0,1,1,7,2,4,3
Arizona,AZ,Pinal,464154,68.6,11.22,713.125519103,11.46,43793.0,1,1,7,2,4,6
Arizona,AZ,Santa Cruz,48759,59.7,15.22,1386.27274785,11.46,46828.0,3,4,7,1,4,5
Arizona,AZ,Yavapai,246191,58.9,17.94,1374.03668519,11.46,49060.0,1,4,7,1,4,4
Arizona,AZ,Yuma,207842,72.0,4.12,267.510923953,11.46,44299.0,1,1,7,4,4,6
Arkansas,AR,Arkansas,16512,64.3,52.01,53.8073322933,10.79,56733.0,5,3,2,7,5,2
Arkansas,AR,Ashley,18354,65.8,53.65,40.7656062425,10.79,42844.0,5,3,1,7,5,6
Arkansas,AR,Baxter,42435,58.7,52.48,227.404215457,10.79,43479.0,3,4,2,5,5,6
Arkansas,AR,Benton,302863,58.9,50.6,375.011798469,10.79,91687.0,1,4,2,3,5,1
Arkansas,AR,Boone,38284,58.4,47.25,356.316781609,10.79,42642.0,3,4,2,3,5,6
Arkansas,AR,Bradley,10135,65.0,63.54,51.6406052963,10.79,46734.0,6,3,1,7,5,5
Arkansas,AR,Calhoun,4695,64.4,66.01,52.0825138948,10.79,45401.0,7,3,1,7,5,6
Arkansas,AR,Carroll,28742,58.3,47.84,405.253737907,10.79,40689.0,4,4,2,3,5,7
Arkansas,AR,Chicot,9873,65.9,48.46,34.3052805281,10.79,47402.0,6,3,2,7,5,5
Arkansas,AR,Clark,21250,63.3,57.63,96.7357838517,10.79,42664.0,4,3,1,6,5,6
Arkansas,AR,Clay,14265,60.5,49.26,91.4991561181,10.79,42999.0,5,4,2,6,5,6
Arkansas,AR,Cleburne,25284,61.2,57.58,217.666975881,10.79,45289.0,4,3,1,5,5,6
Arkansas,AR,Cleveland,7467,64.2,61.31,68.3396226415,10.79,49569.0,6,3,1,7,5,4
Arkansas,AR,Columbia,22216,64.6,57.52,82.5198253911,10.79,42785.0,4,3,1,6,5,6
Arkansas,AR,Conway,21046,61.7,52.87,150.005280845,10.79,46412.0,4,3,2,6,5,5
Arkansas,AR,Craighead,113017,61.3,53.12,78.4479166667,10.79,45160.0,2,3,1,6,5,6
Arkansas,AR,Crawford,61075,61.6,48.35,283.586594692,10.79,40691.0,2,3,2,4,5,7
Arkansas,AR,Crittenden,47061,62.9,55.46,63.1253186066,10.79,45416.0,3,3,1,7,5,6
Arkansas,AR,Cross,16601,62.4,54.25,71.2529335072,10.79,42009.0,5,3,1,7,5,6
Arkansas,AR,Dallas,6191,63.4,60.93,84.2411230388,10.79,46261.0,7,3,1,6,5,5
Arkansas,AR,Desha,10771,64.6,54.45,43.1243450926,10.79,48464.0,6,3,1,7,5,5
Arkansas,AR,Drew,16911,65.1,57.65,57.9518432414,10.79,45391.0,5,3,1,7,5,6
Arkansas,AR,Faulkner,127665,62.1,54.09,130.42688391,10.79,45841.0,2,3,1,6,5,5
Arkansas,AR,Franklin,17271,61.2,49.58,259.587451654,10.79,40591.0,5,3,2,4,5,7
Arkansas,AR,Fulton,12382,59.0,49.71,224.7157799,10.79,34900.0,6,4,2,5,5,7
Arkansas,AR,Garland,100089,62.8,60.67,214.728024042,10.79,46897.0,2,3,1,5,5,5
Arkansas,AR,Grant,18160,63.8,57.86,76.7292746114,10.79,46161.0,5,3,1,6,5,5
Arkansas,AR,Greene,46448,60.9,50.61,92.1489165514,10.79,41633.0,3,3,2,6,5,7
Arkansas,AR,Hempstead,19453,64.0,58.4,104.543703704,10.79,41269.0,5,3,1,6,5,7
Arkansas,AR,Hot Spring,33203,63.3,56.49,138.667703243,10.79,37474.0,4,3,1,6,5,7
Arkansas,AR,Howard,12557,62.8,61.01,177.946216955,10.79,42224.0,5,3,1,5,5,6
Arkansas,AR,Independence,37945,60.5,57.08,132.061706629,10.79,42120.0,3,4,1,6,5,6
Arkansas,AR,Izard,14048,59.1,52.98,199.328205128,10.79,34986.0,5,4,2,5,5,7
Arkansas,AR,Jackson,16624,61.0,55.38,77.7793624161,10.79,42871.0,5,3,1,6,5,6
Arkansas,AR,Jefferson,64246,64.2,54.98,65.8539836413,10.79,42076.0,2,3,1,7,5,6
Arkansas,AR,Johnson,26001,60.4,53.9,315.540102726,10.79,35577.0,4,4,1,3,5,7
Arkansas,AR,Lafayette,6101,65.5,55.49,76.661218425,10.79,47355.0,7,3,1,6,5,5
Arkansas,AR,Lawrence,16205,60.3,51.19,94.6591726619,10.79,40161.0,5,4,2,6,5,7
Arkansas,AR,Lee,8364,63.4,54.36,59.2683775555,10.79,37128.0,6,3,1,7,5,7
Arkansas,AR,Lincoln,12916,64.7,56.75,61.1046948357,10.79,33387.0,5,3,1,7,5,7
Arkansas,AR,Little River,11821,64.9,56.05,95.9066866267,10.79,40794.0,6,3,1,6,5,7
Arkansas,AR,Logan,21253,62.2,49.88,203.06910721,10.79,39622.0,4,3,2,5,5,7
Arkansas,AR,Lonoke,75225,63.4,53.64,71.0976021614,10.79,46388.0,2,3,1,7,5,5
Arkansas,AR,Madison,17486,58.2,47.9,503.221761327,10.79,40884.0,5,4,2,2,5,7
Arkansas,AR,Marion,17254,58.6,47.27,258.7763329,10.79,36684.0,5,4,2,4,5,7
Arkansas,AR,Miller,42552,66.1,53.26,79.512109203,10.79,40319.0,3,1,1,6,5,7
Arkansas,AR,Mississippi,38896,61.8,51.92,71.2639175258,10.79,42273.0,3,3,2,7,5,6
Arkansas,AR,Monroe,6564,63.8,51.32,52.0577181208,10.79,41783.0,6,3,2,7,5,7
Arkansas,AR,Montgomery,8556,62.0,62.22,276.026148173,10.79,37039.0,6,3,1,4,5,7
Arkansas,AR,Nevada,8181,63.7,56.51,88.9519572954,10.79,39041.0,6,3,1,6,5,7
Arkansas,AR,Newton,7078,57.7,44.48,474.67696812,10.79,38629.0,6,4,3,2,5,7
Arkansas,AR,Ouachita,22049,63.9,60.86,56.4378437844,10.79,43341.49,4,3,1,7,5,6
Arkansas,AR,Perry,10063,62.4,55.13,169.883835887,10.79,43793.0,6,3,1,5,5,6
Arkansas,AR,Phillips,15304,63.9,53.47,53.1371185786,10.79,45497.0,5,3,1,7,5,6
Arkansas,AR,Pike,10179,62.6,62.23,178.533928571,10.79,40806.0,6,3,1,5,5,7
Arkansas,AR,Poinsett,22495,61.8,54.24,70.5517002082,10.79,41551.0,4,3,1,7,5,7
Arkansas,AR,Polk,19337,60.9,62.5,359.678025478,10.79,38178.0,5,3,1,3,5,7
Arkansas,AR,Pope,64065,60.6,53.69,261.358040606,10.79,40937.0,2,4,1,4,5,7
Arkansas,AR,Prairie,8069,63.7,52.23,60.9456050453,10.79,43835.0,6,3,2,7,5,6
Arkansas,AR,Pulaski,399145,63.1,57.2,101.984525447,10.79,58583.0,1,3,1,6,5,2
Arkansas,AR,Randolph,18837,60.0,50.53,124.179818887,10.79,39491.0,5,4,2,6,5,7
Arkansas,AR,St. Francis,22451,63.0,53.48,65.4674556213,10.79,36761.0,4,3,1,7,5,7
Arkansas,AR,Saline,127357,63.0,61.9,163.690902448,10.79,49031.0,2,3,1,6,5,4
Arkansas,AR,Scott,9805,61.7,57.17,284.258298129,10.79,38790.0,6,3,1,4,5,7
Arkansas,AR,Searcy,7918,57.9,48.59,346.427294882,10.79,34335.0,6,4,2,3,5,7
Arkansas,AR,Sebastian,129059,62.6,51.55,193.072434608,10.79,48556.0,2,3,2,5,5,5
Arkansas,AR,Sevier,15686,63.6,58.01,132.498102467,10.79,41322.0,5,3,1,6,5,7
Arkansas,AR,Sharp,17810,59.2,51.2,170.813891362,10.79,41025.0,5,4,2,5,5,7
Arkansas,AR,Stone,12575,59.3,55.05,269.693414741,10.79,37002.0,5,4,1,4,5,7
Arkansas,AR,Union,37752,65.1,62.78,51.8183956101,10.79,50787.0,3,3,1,7,5,4
Arkansas,AR,Van Buren,16102,59.6,52.83,297.984528302,10.79,38783.0,5,4,2,4,5,7
Arkansas,AR,Washington,256054,59.3,48.44,426.34609969,10.79,47836.0,1,4,2,3,5,5
Arkansas,AR,White,77755,62.5,55.76,107.297944314,10.79,42743.0,2,3,1,6,5,6
Arkansas,AR,Woodruff,6049,62.6,52.99,60.3115671642,10.79,49050.0,7,3,2,7,5,4
Arkansas,AR,Yell,20129,62.4,52.73,185.261083744,10.79,41750.0,5,3,2,5,5,7
California,CA,Alameda,1628997,58.8,31.85,263.242304939,24.71,99746.0,1,4,5,4,1,1
California,CA,Alpine,1190,43.3,61.81,2356.63174716,24.71,72734.0,7,2,1,1,1,1
California,CA,Amador,41412,57.5,55.94,809.310209424,24.71,49752.0,3,4,1,1,1,4
California,CA,Butte,207303,59.9,52.61,474.964038728,24.71,54694.0,1,4,2,2,1,3
California,CA,Calaveras,46563,57.9,53.98,740.681130172,24.71,57726.0,3,4,1,2,1,2
California,CA,Colusa,21914,60.8,30.95,233.884852488,24.71,54511.0,4,3,5,5,1,3
California,CA,Contra Costa,1156966,59.5,30.49,148.049544627,24.71,99312.0,1,4,5,6,1,1
California,CA,Del Norte,27082,51.8,67.05,667.322037972,24.71,43951.0,4,7,1,2,1,6
California,CA,El Dorado,192646,53.3,68.08,1297.16177534,24.71,78525.0,1,7,1,1,1,1
California,CA,Fresno,1015190,55.2,34.2,1025.26186213,24.71,51422.0,1,6,4,1,1,4
California,CA,Glenn,28339,59.9,34.97,384.884376215,24.71,50626.0,4,4,4,3,1,4
California,CA,Humboldt,135010,53.5,65.95,534.535287884,24.71,53607.0,2,7,1,2,1,3
California,CA,Imperial,178713,73.7,3.82,126.467948322,24.71,47653.0,1,1,7,6,1,5
California,CA,Inyo,18718,59.6,10.37,1268.77547737,24.71,62090.0,5,4,7,1,1,2
California,CA,Kern,916108,60.9,15.01,724.486745238,24.71,45961.0,1,3,7,2,1,5
California,CA,Kings,152981,63.5,13.48,104.698168355,24.71,43176.0,1,3,7,6,1,6
California,CA,Lake,68191,56.6,57.91,709.416650343,24.71,46918.0,2,6,1,2,1,5
California,CA,Lassen,29904,46.2,24.61,1633.93527215,24.71,39394.0,4,5,6,1,1,7
California,CA,Los Angeles,9721138,60.6,27.26,690.510138094,24.71,74141.0,1,4,5,2,1,1
California,CA,Madera,160256,55.8,35.15,941.675380994,24.71,45757.0,1,6,4,1,1,5
California,CA,Marin,256018,55.4,47.27,129.93791688,24.71,164118.0,1,6,2,6,1,1
California,CA,Mariposa,17020,54.7,53.99,1108.43074474,24.71,61343.0,5,6,1,1,1,2
California,CA,Mendocino,89783,54.8,62.71,556.870646037,24.71,56047.0,2,6,1,2,1,3
California,CA,Merced,290014,62.0,19.33,112.234077079,24.71,46580.0,1,3,7,6,1,5
California,CA,Modoc,8511,46.7,21.56,1517.47428774,24.71,54301.0,6,5,6,1,1,3
California,CA,Mono,12978,43.2,31.75,2365.33402888,24.71,64164.0,5,2,5,1,1,1
California,CA,Monterey,432858,57.9,33.72,446.170092705,24.71,63449.0,1,4,4,2,1,2
California,CA,Napa,134300,58.9,43.13,284.978043912,24.71,90608.0,2,4,3,4,1,1
California,CA,Nevada,102293,51.6,69.84,1261.56608741,24.71,68973.0,2,7,1,1,1,1
California,CA,Orange,3151184,63.0,23.34,221.011157601,24.71,81034.0,1,3,6,5,1,1
California,CA,Placer,417772,52.9,67.53,1161.78981656,24.71,76849.0,1,7,1,1,1,1
California,CA,Plumas,19351,46.8,55.61,1618.15537383,24.71,57193.0,5,5,1,1,1,2
California,CA,Riverside,2473902,67.7,10.65,566.065732677,24.71,51180.0,1,1,7,2,1,4
California,CA,Sacramento,1584169,61.9,27.34,31.5144414169,24.71,61829.0,1,3,5,7,1,2
California,CA,San Benito,67579,58.3,26.18,591.009073359,24.71,68868.0,2,4,5,2,1,1
California,CA,San Bernardino,2193656,65.6,8.26,812.688559522,24.71,49493.0,1,3,7,1,1,4
California,CA,San Diego,3276208,61.7,23.82,601.949407684,24.71,72637.0,1,3,6,2,1,1
California,CA,San Francisco,808437,56.4,38.63,71.9736842105,24.71,160749.0,1,6,4,7,1,1
California,CA,San Joaquin,793229,62.0,24.09,48.2524752475,24.71,57783.0,1,3,6,7,1,2
California,CA,San Luis Obispo,282013,58.7,32.51,472.932707862,24.71,66617.0,1,4,5,2,1,1
California,CA,San Mateo,729181,56.4,45.2,203.995095034,24.71,160485.0,1,6,3,5,1,1
California,CA,Santa Barbara,443837,57.6,34.41,555.608682544,24.71,73995.0,1,4,4,2,1,1
California,CA,Santa Clara,1870945,58.0,40.34,373.644029545,24.71,138724.0,1,4,4,3,1,1
California,CA,Santa Cruz,264370,57.1,56.8,286.286309524,24.71,85554.0,1,4,1,4,1,1
California,CA,Shasta,180930,55.1,49.88,913.35395122,24.71,54972.0,1,6,2,1,1,3
California,CA,Sierra,3217,46.2,63.24,1751.43738417,24.71,47135.0,7,5,1,1,1,5
California,CA,Siskiyou,43660,49.3,37.58,1296.6529966,24.71,52368.0,3,5,4,1,1,3
California,CA,Solano,448747,60.4,31.24,50.8397664612,24.71,65448.0,1,4,5,7,1,1
California,CA,Sonoma,482650,56.3,54.52,222.124837027,24.71,81006.0,1,6,1,5,1,1
California,CA,Stanislaus,551275,61.3,23.53,149.625234442,24.71,52356.0,1,3,6,6,1,3
California,CA,Sutter,98503,62.5,26.96,23.4841838887,24.71,53017.0,2,3,5,7,1,3
California,CA,Tehama,65245,58.6,46.34,653.362999481,24.71,48042.0,2,4,3,2,1,5
California,CA,Trinity,15781,52.6,66.71,1159.74419342,24.71,36906.0,5,7,1,1,1,7
California,CA,Tulare,477544,53.5,37.16,1326.4479114,24.71,47986.0,1,7,4,1,1,5
California,CA,Tuolumne,54531,49.4,69.29,1723.12896939,24.71,52306.0,3,5,1,1,1,3
California,CA,Ventura,832605,56.5,38.1,819.824420677,24.71,73375.0,1,6,4,1,1,1
California,CA,Yolo,222115,61.4,30.02,103.559334845,24.71,64468.0,1,3,5,6,1,1
California,CA,Yuba,84310,60.4,46.78,327.00120048,24.71,48984.0,2,4,3,3,1,4
Colorado,CO,Adams,527575,48.6,23.45,1550.92419764,12.53,53183.0,1,5,6,1,2,3
Colorado,CO,Alamosa,16592,43.5,7.87,2360.24292101,12.53,44507.0,5,2,7,1,2,6
Colorado,CO,Arapahoe,655808,48.2,24.46,1666.5972087,12.53,74267.0,1,5,6,1,2,1
Colorado,CO,Archuleta,14003,42.7,23.5,2519.20750722,12.53,52312.0,5,2,6,1,2,3
Colorado,CO,Baca,3432,53.6,16.7,1308.0620438,12.53,52905.0,7,6,7,1,2,3
Colorado,CO,Bent,5399,52.8,16.98,1258.73532874,12.53,32716.0,7,7,7,1,2,7
Colorado,CO,Boulder,327468,43.9,23.94,2249.85433207,12.53,89593.0,1,2,6,1,2,1
Colorado,CO,Broomfield,76121,49.7,20.56,1625.14285714,12.53,73678.0,2,5,6,1,2,1
Colorado,CO,Chaffee,20223,37.6,16.18,3035.42955766,12.53,60550.0,5,2,7,1,2,2
Colorado,CO,Cheyenne,1732,51.1,16.3,1325.88077895,12.53,76057.0,7,7,7,1,2,1
Colorado,CO,Clear Creek,9355,36.6,27.22,3138.26640927,12.53,77242.0,6,2,5,1,2,1
Colorado,CO,Conejos,7579,40.3,16.18,2728.39647303,12.53,45961.0,6,2,7,1,2,5
Colorado,CO,Costilla,3603,42.4,14.63,2700.93556086,12.53,43239.0,7,2,7,1,2,6
Colorado,CO,Crowley,5614,51.5,13.58,1383.37784182,12.53,24314.0,7,7,7,1,2,7
Colorado,CO,Custer,5335,41.2,16.35,2762.18994801,12.53,51271.0,7,2,7,1,2,4
Colorado,CO,Delta,31602,46.2,20.49,2127.9770322,12.53,46042.0,4,5,6,1,2,5
Colorado,CO,Denver,713252,49.8,21.04,1626.11892797,12.53,99133.0,1,5,6,1,2,1
Colorado,CO,Dolores,2455,42.6,26.05,2538.85011076,12.53,39481.0,7,2,6,1,2,7
Colorado,CO,Douglas,375988,46.2,24.15,2095.74197456,12.53,87841.0,1,5,6,1,2,1
Colorado,CO,Eagle,55285,38.7,23.49,2765.75452625,12.53,97255.0,3,2,6,1,2,1
Colorado,CO,Elbert,27799,47.2,23.25,1818.12380685,12.53,70961.0,4,5,6,1,2,1
Colorado,CO,El Paso,740567,47.7,20.63,1957.75012207,12.53,58627.0,1,5,6,1,2,2
Colorado,CO,Fremont,49621,45.0,12.28,2293.54559169,12.53,41017.0,3,2,7,1,2,7
Colorado,CO,Garfield,62271,42.8,29.19,2405.67059426,12.53,67123.0,2,2,5,1,2,1
Colorado,CO,Gilpin,5891,38.7,25.59,2835.69786535,12.53,63971.0,7,2,6,1,2,1
Colorado,CO,Grand,15769,36.4,23.66,2822.12409457,12.53,62267.0,5,2,6,1,2,2
Colorado,CO,Gunnison,17267,37.5,23.92,2910.09249702,12.53,59514.0,5,2,6,1,2,2
Colorado,CO,Hinsdale,775,35.2,29.26,3332.97135227,12.53,56524.0,7,2,5,1,2,3
Colorado,CO,Huerfano,7082,47.0,14.62,2288.2177538,12.53,48801.0,6,5,7,1,2,5
Colorado,CO,Jackson,1302,35.8,25.28,2718.53502694,12.53,62823.0,7,2,6,1,2,2
Colorado,CO,Jefferson,576143,45.3,21.49,2150.60270806,12.53,74822.0,1,2,6,1,2,1
Colorado,CO,Kiowa,1424,51.8,17.44,1267.19477124,12.53,75006.0,7,7,7,1,2,1
Colorado,CO,Kit Carson,6961,50.4,18.32,1346.66243173,12.53,52253.0,6,7,7,1,2,3
Colorado,CO,Lake,7327,34.2,22.75,3331.7705249,12.53,48942.0,6,2,6,1,2,4
Colorado,CO,La Plata,56607,44.3,23.83,2434.63495783,12.53,66944.0,3,2,6,1,2,1
Colorado,CO,Larimer,366778,41.7,23.82,2354.64774011,12.53,64258.0,1,2,6,1,2,1
Colorado,CO,Las Animas,14327,51.1,14.25,1812.7226604,12.53,61929.89,5,7,7,1,2,2
Colorado,CO,Lincoln,5510,49.2,16.64,1561.08100669,12.53,37623.0,7,5,7,1,2,7
Colorado,CO,Logan,20823,48.1,20.12,1277.92388344,12.53,48330.0,4,5,6,1,2,5
Colorado,CO,Mesa,158636,47.2,20.21,2086.54035525,12.53,52121.0,1,5,6,1,2,3
Colorado,CO,Mineral,931,35.6,29.61,3197.96326879,12.53,70250.0,7,2,5,1,2,1
Colorado,CO,Moffat,13177,42.4,17.99,2052.10684631,12.53,49227.0,5,2,7,1,2,4
Colorado,CO,Montezuma,26468,48.1,20.38,2076.56419347,12.53,50960.0,4,5,6,1,2,4
Colorado,CO,Montrose,43811,47.3,17.6,2116.26883622,12.53,50789.0,3,5,7,1,2,4
Colorado,CO,Morgan,29239,48.3,22.61,1369.21869419,12.53,52069.0,4,5,6,1,2,3
Colorado,CO,Otero,18303,52.6,15.15,1355.71197007,12.53,42752.0,5,7,7,1,2,6
Colorado,CO,Ouray,5100,41.3,21.74,2737.19830429,12.53,76727.0,7,2,6,1,2,1
Colorado,CO,Park,17939,37.6,16.9,2948.11636532,12.53,57127.0,5,2,7,1,2,2
Colorado,CO,Phillips,4449,48.6,19.45,1163.94285714,12.53,50382.0,7,5,7,1,2,4
Colorado,CO,Pitkin,16876,37.1,30.48,3050.99211528,12.53,198939.0,5,2,5,1,2,1
Colorado,CO,Prowers,11854,53.1,18.83,1158.6900375,12.53,46073.0,6,7,7,1,2,5
Colorado,CO,Pueblo,169544,52.1,13.38,1588.76883987,12.53,46927.0,1,7,7,1,2,5
Colorado,CO,Rio Blanco,6569,43.1,23.41,2203.96035907,12.53,54745.0,6,2,6,1,2,3
